Day,Time,Title,Speaker,Room,Venue,Theme1,Theme2,Theme3,Description,Is highlight
Saturday,11.45,Revolutionary politics in the era of Corbyn,Charlie Kimber,The Venue,SC,Socialism,Corbyn,,"A socialist may be the next Prime Minister of Britain. This opens up huge possibilities, but also throws up big questions. Is revolution still relevant in the era of Corbyn? Join the debate with Charlie Kimber, editor of Socialist Worker newspaper.",
Saturday,11.45,One year on: Grenfell & the fight for Justice,"Moyra Samuels, Lucy Masoud",Upper Hall,SC,,,,"One year on from the Grenfell disaster, the fight for justice continues. Families are still yet to be permanently rehoused, while the companies and politicians responsible for Grenfell continue to walk free. This special panel - including Moyra Samuels from Justice4Grenfell and firefighter Lucy Masoud - will be debating how we can get justice for Grenfell.",
Saturday,11.45,Marx's laws of motion in 30 minutes,Michael Roberts,Elvin Hall,IOE,Marx@200,,,Michael Roberts is a Marxist economist (https://thenextrecession.wordpress.com/). He wil (try!) to discuss Marx's three laws of motion in just 30 minutes! See if he can do it.,
Saturday,11.45,"Trojan Horse, Prevent and fighting Islamophobia","John Holmwood, Tahir Alam, Nahella Ashraf",Malet Suite,SC,Racism,,,"The Trojan Horse scandal in Birmingham was an islamophobic attempt to stigmatise Muslim communities, and is emblematic of the systematic racism at the heart of the Prevent strategy. John Holmwood, who wrote a book on the topic will be joined by Tahir Alam, a former governor of one of the schools in question.",
Saturday,11.45,What makes humans different from animals?,John Parrington,3C/D,SC,,,,Are humans different from animals? Should all species be treated equally? Does speciesism exist? Join socialist scientist John Parrington to discuss these questions and more. ,
Saturday,11.45,Wakanda forever: Africa before colonisation,Gary McFarlane,Nunn,IOE,Racism,Imperialism,,,
Saturday,11.45,Is the welfare state finished?,Kevin Doogan,Clarke,IOE,Socialism,,,,
Saturday,11.45,Is fascism back in Eastern Europe?,Andy Zebrowski & others,Seminar room 802,IOE,Racism,,,"In both Poland and Hungary, far right or fascist groups are either in government or have mobilised huge numbers on the streets. Antisemitism and islamophobia are at their core. Does this mean fascism is back in Eastern Europe? Polish and Hungarian anti-fascists will be flying over to discuss.",
Saturday,11.45,Music and capitalism,Sabby Sagall,Seminar room 642,IOE,,,,,
Saturday,14.30,World economy: Is the long depression over?,Michael Roberts,The Venue,SC,Marx@200,,,"We keep being told that the world economy will begin to recover, and that the darkest financial days are behind us. Does capitalism have a way  out of the current economic crisis? Join Michael Roberts, Marxist economist, to discuss",
Saturday,14.30,"Sounding the alarm: the alt-right, fascism & racist populism today",Weyman Bennett,Upper Hall,SC,Racism,,,"From Trump to Tommy Robinson, we've seen a resurgence of the far right. Recently up to 15,000 supporters of Tommy Robinson marched in London.",
Saturday,14.30,"Debate: Corbyn, Labour & the future of British politics","Mark Perryman, Mark L Thomas",Elvin Hall,IOE,Corbyn,,,"The big debate:The Corbyn movement is at a crucial juncture. Socialist ideas are popular again, and the Tories are on the back foot. However it feels that since the election last year, there has been somewhat of a stalemate. What way forward for Corbyn and the fight for socialism. Mark Perryman, editor of the Corbyn moment, will be debating Mark L Thomas on where next?",
Saturday,14.30,#MeToo: fighting sexism & the system,Amy Leather ,Malet Suite,SC,Sexism,,,,
Saturday,14.30,Is another education possible?,"Alex Kenny, Lisa Tunnell & Paddy De Cléir",3C/D,SC,,,,"The crisis in education continues to deepen, from teacher workloads to endless testing of children. Is another education system possible? Alex Kenny from the NEU executive will be joined by Paddy dé Cléir and Lisa Tunnell from the Young Teachers Network.",
Saturday,14.30,"Disability, oppression & resistance",Disabled People Against Cuts,Nunn,IOE,Liberation,,,In many ways disabled people have been at the forefront of austerity. The government has rought in a culture that has treated those on benefits as scroungers and victims. But they're not - join Disabled People Against Cuts to hear their tales of resistance and discuss the fightback,
Saturday,14.30,"Considering class: theory, culture and media in the 21st century",,Clarke,IOE,,,,,
Saturday,14.30,Do British people benefit from the oppression of the Global South,Mani Tanoh,Seminar room 802,IOE,Imperialism,,,,
